Brand,Model,km_driven,Owner,Mfg_year,Fuel_type,Mileage,Transmission,Price(lakh)
Hyundai,Creta,"28,662",First,2020,Petrol,15.29,Automatic,14.9
Skoda,Superb,"34,463",Second,2017,Petrol,14.81,Automatic,15.95
BMW,X1,"64,300",Second,2016,Diesel,FWD,BS,18.75
Mercedes-Benz,C-Class,"57,750",First,2015,Petrol,14.74,Automatic,23.85
Hyundai,Creta,"71,000",First,2019,Diesel,17.01,Automatic,15.49
Honda,Jazz,"35,755",Second,2017,Petrol,18.7,Manual,4.3
Maruti,Suzuki,"29,954",First,2016,Petrol,23.1,Automatic,4.85
Maruti,Suzuki,"29,954",First,2016,Petrol,23.1,Automatic,4.85
Volkswagen,Vento,"1,11,139",First,2018,Diesel,22.15,Automatic,7.9
BMW,5,"48,000",First,2017,Diesel,18.12,Automatic,30
Honda,City,"64,000",First,2017,Petrol,17.4,Manual,6.9
Hyundai,Creta,"28,662",First,2020,Petrol,15.29,Automatic,14.9
Tata,Safari,"10,000",First,2022,Diesel,350,704,24.85
Maruti,Suzuki,"78,232",First,2013,CNG,Manual,1475,3.06
Honda,City,"16,644",First,2021,Petrol,FWD,No,12.85
Honda,City,"73,749",First,2015,Petrol,16.8,Manual,5.31
Honda,Brio,"13,521",First,2016,Petrol,19.4,Manual,5.15
Honda,City,"20,818",First,2019,Petrol,FWD,No,8.5
Honda,City,"64,461",First,2015,Petrol,FWD,No,6.5
Honda,Brio,"13,521",First,2016,Petrol,19.4,Manual,5.15
Honda,City,"20,818",First,2019,Petrol,FWD,No,8.5
Honda,City,"64,461",First,2015,Petrol,FWD,No,6.5
Hyundai,Creta,"34,287",First,2017,Petrol,17,FWD,8.75
Honda,City,"55,232",First,2015,Petrol,FWD,No,6.6
Maruti,Suzuki,"22,168",First,2016,Petrol,21.4,Manual,5.6
Honda,City,"42,919",First,2015,Petrol,FWD,No,7.55
Honda,Jazz,"53,169",First,2015,Petrol,18.7,Manual,5.65
Honda,City,"35,856",First,2015,Petrol,FWD,No,6.9
Mercedes-Benz,GLA,"37,500",Second,2016,Diesel,FWD,BS,22.25
Maruti,Suzuki,"22,744",First,2020,Petrol,20.4,Manual,6.75
Toyota,Camry,"22,715",First,2016,Petrol,19.16,Automatic,21.99
Hyundai,Verna,"18,193",First,2012,Diesel,FWD,Turbocharged,4.25
Renault,Triber,"24,571",First,2020,Petrol,20,Manual,6.3
Renault,Triber,"24,571",First,2020,Petrol,20,Manual,6.3
Toyota,Innova,"98,370",First,2018,Diesel,15.1,Manual,18.99
Toyota,Innova,"1,10,847",First,2017,Diesel,14.29,Automatic,18.99
BMW,X1,"64,300",Second,2016,Diesel,FWD,BS,18.75
Nissan,Terrano,"84,200",First,2015,Diesel,20.5,Manual,5.75
